Start_Date,Start_Time,Winning_Team,Losing_Team,Winning_Seed,Losing_Seed,Winning_Score,Losing_Score,Game_Region
3/14/2023,09:34PM ET,Pittsburgh University,Mississippi State University,11,11,60,59,Midwest
3/14/2023,06:40PM ET,Texas A&M Corpus Christi,Southeast Missouri State,16,16,75,71,South
3/15/2023,09:10PM ET,Arizona State University,University of Nevada Reno,11,11,98,73,West
3/15/2023,06:40PM ET,Fairleigh Dickinson University,Texas Southern University,16,16,84,61,East
3/16/2023,04:18PM ET,Princeton University,University of Arizona,15,2,59,55,South
3/16/2023,12:40PM ET,Furman University,University of Virginia,13,4,68,67,South
3/16/2023,10:16PM ET,Penn State University,Texas A&M,10,7,76,59,Midwest
3/16/2023,06:50PM ET,Auburn University,University of Iowa,9,8,83,75,Midwest
3/16/2023,04:34PM ET,University of Arkansas,University of Illinois Urbana-Champaign,8,9,73,63,West
3/16/2023,12:15PM ET,University of Maryland,West Virginia University,8,9,67,65,South
3/16/2023,07:35PM ET,Northwestern University,Boise State University,7,10,75,67,West
3/16/2023,01:40PM ET,University of Missouri,Utah State University,7,10,76,65,South
3/16/2023,03:25PM ET,San Diego State University,College of Charleston,5,12,63,57,South
3/16/2023,07:10PM ET,Duke University,Oral Roberts University,5,12,74,51,East
3/16/2023,09:33PM ET,University of Tennessee Knoxville,University of Louisiana at Lafayette,4,13,58,55,East
3/16/2023,07:25PM ET,University of Texas at Austin,Colgate University,2,15,81,61,Midwest
3/16/2023,10:11PM ET,UCLA,University of North Carolina at Asheville,2,15,86,53,West
3/16/2023,02:00PM ET,University of Kansas,Howard University,1,16,96,68,West
3/16/2023,09:39PM ET,University of Houston,Northern Kentucky University,1,16,63,52,Midwest
3/16/2023,03:17PM ET,University of Alabama,Texas A&M Corpus Christi,1,16,96,75,South
3/17/2023,06:50PM ET,Fairleigh Dickinson University,Purdue University,16,1,63,58,East
3/17/2023,03:31PM ET,Pittsburgh University,Iowa State University,11,6,59,41,Midwest
3/17/2023,09:42PM ET,Florida Atlantic University,University of Memphis,9,8,66,65,East
3/17/2023,12:15PM ET,Michigan State University,University of Southern California,7,10,72,62,East
3/17/2023,10:05PM ET,Texas Christian University,Arizona State University,6,11,72,70,West
3/17/2023,03:56PM ET,Creighton University,North Carolina State University,6,11,72,63,South
3/17/2023,07:13PM ET,University of Kentucky,Providence College,6,11,61,53,East
3/17/2023,07:55PM ET,University of Miami,Drake University,5,12,63,56,Midwest
3/17/2023,02:00PM ET,Saint Mary's College,Virginia Commonwealth University,5,12,63,51,West
3/17/2023,04:48PM ET,University of Connecticut,Iona University,4,13,87,63,West
3/17/2023,10:36PM ET,Indiana University Bloomington,Kent State University,4,13,71,60,Midwest
3/17/2023,07:35PM ET,Gonzaga University,Grand Canyon University,3,14,82,70,West
3/17/2023,12:40PM ET,Xavier University,Kennesaw State University,3,14,72,67,Midwest
3/17/2023,09:56PM ET,Kansas State University,Montana State University,3,14,77,65,East
3/17/2023,01:30PM ET,Baylor University,UC Santa Barbara,3,14,74,56,South
3/17/2023,02:51PM ET,Marquette University,University of Vermont,2,15,78,61,East
3/18/2023,05:25PM ET,University of Arkansas,University of Kansas,8,1,72,71,West
3/18/2023,02:40PM ET,University of Tennessee Knoxville,Duke University,4,5,65,52,East
3/18/2023,08:50PM ET,UCLA,Northwestern University,2,7,68,63,West
3/18/2023,06:10PM ET,Princeton University,University of Missouri,15,7,78,63,South
3/18/2023,10:02PM ET,University of Alabama,University of Maryland,1,8,73,51,South
3/18/2023,07:10PM ET,University of Houston,Auburn University,1,9,81,64,Midwest
3/18/2023,08:17PM ET,University of Texas at Austin,Penn State University,2,10,71,66,Midwest
3/18/2023,12:10PM ET,San Diego State University,Furman University,5,13,75,52,South
3/19/2023,05:20PM ET,Michigan State University,Marquette University,7,2,69,60,East
3/19/2023,07:10PM ET,Creighton University,Baylor University,6,3,85,76,South
3/19/2023,08:47PM ET,University of Miami,Indiana University Bloomington,5,4,85,69,Midwest
3/19/2023,06:10PM ET,University of Connecticut,Saint Mary's College,4,5,70,55,West
3/19/2023,09:52PM ET,Gonzaga University,Texas Christian University,3,6,84,81,West
3/19/2023,02:55PM ET,Kansas State University,University of Kentucky,3,6,75,69,East
3/19/2023,12:10PM ET,Xavier University,Pittsburgh University,3,11,84,73,Midwest
3/19/2023,08:06PM ET,Florida Atlantic University,Fairleigh Dickinson University,9,16,78,70,East
3/23/2023,10:04PM ET,Gonzaga University,UCLA,3,2,79,76,West
3/23/2023,09:36PM ET,Florida Atlantic University,University of Tennessee Knoxville,9,4,62,55,East
3/23/2023,06:30PM ET,Kansas State University,Michigan State University,3,7,98,93,East
3/23/2023,07:15PM ET,University of Connecticut,University of Arkansas,4,8,88,65,West
3/24/2023,06:30PM ET,San Diego State University,University of Alabama,5,1,71,64,South
3/24/2023,07:15PM ET,University of Miami,University of Houston,5,1,89,75,Midwest
3/24/2023,09:59PM ET,University of Texas at Austin,Xavier University,2,3,83,71,Midwest
3/24/2023,09:27PM ET,Creighton University,Princeton University,6,15,86,75,South
3/25/2023,08:59PM ET,University of Connecticut,Gonzaga University,4,3,82,54,West
3/25/2023,06:09PM ET,Florida Atlantic University,Kansas State University,9,3,79,76,East
3/26/2023,05:10PM ET,University of Miami,University of Texas at Austin,5,2,88,81,Midwest
3/26/2023,02:20PM ET,San Diego State University,Creighton,5,6,57,56,South
4/1/2023,09:16PM ET,University of Connecticut,University of Miami,4,5,72,59,
4/1/2023,06:09PM ET,San Diego State University,Florida Atlantic University,5,9,72,71,
4/3/2023,09:20PM ET,University of Connecticut,San Diego State University,4,5,76,59,
