School,SchoolName
Arizona State University,Arizona State University Campus Immersion
Auburn University,Auburn University
Baylor University,Baylor University
Boise State University,Boise State University
Colgate University,Colgate University
College of Charleston,College of Charleston
Creighton University,Creighton University
Drake University,Drake University
Duke University,Duke University
Fairleigh Dickinson University,Fairleigh Dickinson University-Metropolitan Campus
Florida Atlantic University,Florida Atlantic University
Furman University,Furman University
Gonzaga University,Gonzaga University
Grand Canyon University,Grand Canyon University
Howard University,Howard University
Indiana University Bloomington,Indiana University-Bloomington
Iona University,Iona College
Iowa State University,Iowa State University
Kansas State University,Kansas State University
Kennesaw State University,Kennesaw State University
Kent State University,Kent State University at Kent
Marquette University,Marquette University
Michigan State University,Michigan State University
Mississippi State University,Mississippi State University
Montana State University,Montana State University
North Carolina State University,North Carolina State University at Raleigh
Northern Kentucky University,Northern Kentucky University
Northwestern University,Northwestern University
Oral Roberts University,Oral Roberts University
Penn State University,The Pennsylvania State University
Pittsburgh University,University of Pittsburgh-Pittsburgh Campus
Princeton University,Princeton University
Providence College,Providence College
Purdue University,Purdue University-Main Campus
Saint Mary's College,Saint Mary's College of California
San Diego State University,San Diego State University
Southeast Missouri State,Southeast Missouri State University
Texas A&M,Texas A & M University-College Station
Texas A&M Corpus Christi,Texas A & M University-Corpus Christi
Texas Christian University,Texas Christian University
Texas Southern University,Texas Southern University
UC Santa Barbara,University of California-Santa Barbara
UCLA,University of California-Los Angeles
University of Alabama,University of Alabama at Birmingham
University of Arizona,University of Arizona
University of Arkansas,University of Arkansas
University of Connecticut,University of Connecticut
University of Houston,University of Houston
University of Illinois Urbana-Champaign,University of Illinois Urbana-Champaign
University of Iowa,University of Iowa
University of Kansas,University of Kansas
University of Kentucky,University of Kentucky
University of Louisiana at Lafayette,University of Louisiana at Lafayette
University of Maryland,University of Maryland-College Park
University of Memphis,University of Memphis
University of Miami,University of Miami
University of Missouri,University of Missouri-Columbia
University of Nevada Reno,University of Nevada-Reno
University of North Carolina at Asheville,University of North Carolina at Asheville
University of Southern California,University of Southern California
University of Tennessee Knoxville,The University of Tennessee-Knoxville
University of Texas at Austin,The University of Texas at Austin
University of Vermont,University of Vermont
University of Virginia,University of Virginia-Main Campus
Utah State University,Utah State University
Virginia Commonwealth University,Virginia Commonwealth University
West Virginia University,West Virginia University
Xavier University,Xavier University
